geography_level,geo_code,demographic_type,demographic_group,channel,metric,scope,value,unit,source,source_url,source_year,notes
national,US,race,white,tv_linear,news_consume,news,62,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,race,hispanic,tv_linear,news_consume,news,62,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,race,asian,tv_linear,news_consume,news,52,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,race,black,tv_linear,news_prefer,news,38,pct_prefer,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS pref; highest TV-news preference of any racial group
national,US,race,black,youtube,news_regular,news,41,pct_regularly,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped; each higher than White share
national,US,race,black,facebook,news_regular,news,36,pct_regularly,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,race,black,instagram,news_regular,news,27,pct_regularly,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,race,black,tiktok,news_regular,news,22,pct_regularly,Pew Research Center,https://www.pewresearch.org/short-reads/2024/02/13/8-facts-about-black-americans-and-the-news/,2024,NEWS-scoped
national,US,all,all_adults,youtube,platform_use,general,84,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption (not news)
national,US,all,all_adults,facebook,platform_use,general,71,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,instagram,platform_use,general,50,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,tiktok,platform_use,general,37,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,whatsapp,platform_use,general,32,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,snapchat,platform_use,general,25,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,reddit,platform_use,general,26,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,all,all_adults,x_twitter,platform_use,general,21,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,GENERAL adoption
national,US,race,asian,youtube,platform_use,general,92,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL; YouTube highest among Asian + Hispanic
national,US,race,hispanic,youtube,platform_use,general,88,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,hispanic,instagram,platform_use,general,62,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL; vs 45% White
national,US,race,asian,instagram,platform_use,general,58,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,black,instagram,platform_use,general,54,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,white,instagram,platform_use,general,45,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,hispanic,tiktok,platform_use,general,57,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL; Hispanic + Black over-index TikTok
national,US,race,black,tiktok,platform_use,general,53,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,asian,tiktok,platform_use,general,31,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,white,tiktok,platform_use,general,28,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,hispanic,whatsapp,platform_use,general,56,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL; ~2.5x White rate
national,US,race,asian,whatsapp,platform_use,general,54,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,race,white,whatsapp,platform_use,general,23,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/2025/11/20/americans-social-media-use-2025/,2025,GENERAL adoption
national,US,age,18_29,social,news_consume,news,76,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 48-pt gap vs 65+ (28%); social skews young
national,US,age,65_plus,social,news_consume,news,28,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped
national,US,age,50_plus,tv_linear,news_consume_skew,news,1,direction_over_index,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; 50+ over-index TV/print for news; directional flag not a pct
national,US,age,18_29,digital,news_consume,news,93,pct_at_least_sometimes,Pew Research Center,https://www.pewresearch.org/journalism/fact-sheet/news-platform-fact-sheet/,2025,NEWS-scoped; young adults nearly all-digital
national,US,race,black,radio,reach_monthly,general,92,pct_reach,Nielsen (cited as fact),https://radioink.com/2025/08/13/nielsen-radios-reach-with-black-audiences-hits-92/,2025,"GENERAL radio reach (not news). CITE-AS-FACT only, do not republish Nielsen tables"
national,US,race,black,radio,ad_audio_share,general,73,pct_of_ad_supported_audio,Nielsen (cited as fact),https://www.nielsen.com/insights/2025/radio-gateway-to-black-audience-engagement/,2025,GENERAL; 73% of Black daily ad-supported audio is radio; CITE-AS-FACT
national,US,race,black,radio_urban,format_share,general,50.2,pct_of_black_radio_listening,Nielsen (cited as fact),https://www.nielsen.com/insights/2025/radio-gateway-to-black-audience-engagement/,2025,GENERAL; Urban AC + Urban Contemporary = 50.2% of Black radio listening; CITE-AS-FACT
national,US,race,hispanic,radio,reach_weekly,general,98,pct_reach,Nielsen (cited as fact),https://www.billboard.com/pro/nielsen-audio-today-radio-report-hispanics-black-audiences/,2024,GENERAL Hispanic weekly radio reach; CITE-AS-FACT
national,US,race,black,all_media,time_spent_weekly,general,81,hours_per_week,Nielsen (cited as fact),https://www.nielsen.com/insights/2024/the-global-black-audience-2024-diverse-intelligence-series-report/,2024,GENERAL; 31.8% above gen pop; context stat; CITE-AS-FACT
national,US,all,all_adults,ctv,streaming_use,general,83,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL streaming use (CTV proxy), REPUBLISHABLE; n=9397 Apr 2025"
national,US,age,18_29,ctv,streaming_use,general,90,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; ~90% of under-50 stream; REPUBLISHABLE"
national,US,age,30_49,ctv,streaming_use,general,90,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; ~90% of under-50 stream; REPUBLISHABLE"
national,US,age,65_plus,ctv,streaming_use,general,65,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; even 65+ majority-stream; REPUBLISHABLE"
national,US,all,all_adults,tv_linear,cable_subscribe,general,36,pct_subscribe,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL cable/satellite subscription (linear access proxy), REPUBLISHABLE"
national,US,age,65_plus,tv_linear,cable_subscribe,general,64,pct_subscribe,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; linear/cable skews OLD - the key linear age gradient. REPUBLISHABLE"
national,US,age,50_64,tv_linear,cable_subscribe,general,44,pct_subscribe,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; REPUBLISHABLE"
national,US,age,30_49,tv_linear,cable_subscribe,general,23,pct_subscribe,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; REPUBLISHABLE"
national,US,age,18_29,tv_linear,cable_subscribe,general,16,pct_subscribe,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; only 16% of young adults have cable - linear near-useless for reaching them. REPUBLISHABLE"
national,US,income,upper,ctv,streaming_use,general,91,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; income axis; upper-income most likely to stream. REPUBLISHABLE"
national,US,income,lower,ctv,streaming_use,general,77,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; income axis; ~3/4+ of lower-income still stream. REPUBLISHABLE"
national,US,all,all_adults,ctv,netflix_use,general,72,pct_ever_use,Pew Research Center,https://www.pewresearch.org/short-reads/2025/07/01/83-of-us-adults-use-streaming-services-far-fewer-subscribe-to-cable-or-satellite-tv/,2025,"GENERAL; Netflix top platform (Prime 67/Hulu 52/Disney+ 48/Paramount+ 44). REPUBLISHABLE"
national,US,all,all_adults,podcast,reach_monthly,general,58,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL monthly podcast reach (12+); free public PDF, cite w/ attribution. ~167M people"
national,US,age,12_34,podcast,reach_monthly,general,64,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL; confirmed via multiple secondary cites"
national,US,age,35_54,podcast,reach_monthly,general,68,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL; PEAK age band - podcast is midlife-peak NOT young-skew. Corrects earlier framing. Confirmed."
national,US,age,55_plus,podcast,reach_monthly,general,44,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL; confirmed"
national,US,race,black,podcast,reach_monthly,general,63,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL; confirmed vs Edison Podcast Consumer 2026 PDF p.13 (63% of Black Americans monthly); above national avg"
national,US,race,hispanic,podcast,reach_monthly,general,60,pct_monthly,Edison Research (Podcast Consumer 2026),https://www.edisonresearch.com/wp-content/uploads/2026/06/Podcast-Consumer-2026_Final-for-download.pdf,2026,"GENERAL; confirmed vs Edison Podcast Consumer 2026 PDF p.13 (60% of Latino Americans monthly); above national avg"
national,US,age,18_29,instagram,platform_use,general,80,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; IG sharply young - 80% of 18-29 vs 19% of 65+ (61-pt gap). REPUBLISHABLE"
national,US,age,65_plus,instagram,platform_use,general,19,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; IG skews young. REPUBLISHABLE"
national,US,age,30_49,facebook,platform_use,general,80,pct_ever_use,Pew Research Center,https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; FB peaks 30-49; majority in ALL age groups use FB (the broad-reach platform that holds with older audiences - key for older torts). REPUBLISHABLE"
national,US,age,18_29,tiktok,platform_use,general,62,pct_ever_use,Pew Research Center (8 facts about Americans and TikTok),https://www.pewresearch.org/short-reads/2026/03/02/8-facts-about-americans-and-tiktok/,2026,"GENERAL; confirmed vs Pew '8 facts about Americans and TikTok' (Mar 2026): 62%. TikTok skews young but NOT only-young"
national,US,age,30_49,tiktok,platform_use,general,44,pct_ever_use,Pew Research Center (8 facts about Americans and TikTok),https://www.pewresearch.org/short-reads/2026/03/02/8-facts-about-americans-and-tiktok/,2026,"GENERAL; confirmed vs Pew '8 facts about Americans and TikTok' (Mar 2026): 44%"
national,US,age,50_64,tiktok,platform_use,general,30,pct_ever_use,Pew Research Center (8 facts about Americans and TikTok),https://www.pewresearch.org/short-reads/2026/03/02/8-facts-about-americans-and-tiktok/,2026,"GENERAL; confirmed vs Pew '8 facts about Americans and TikTok' (Mar 2026): 30% of 50-64 use TikTok = meaningful for older torts"
national,US,race,hispanic,tiktok,news_regular,news,36,pct_regularly,Pew Research Center (8 facts about Americans and TikTok),https://www.pewresearch.org/short-reads/2026/03/02/8-facts-about-americans-and-tiktok/,2026,"NEWS-scoped; Hispanic + Black most likely to get NEWS from TikTok. Confirms social over-index pattern"
national,US,race,black,tiktok,news_regular,news,30,pct_regularly,Pew Research Center (8 facts about Americans and TikTok),https://www.pewresearch.org/short-reads/2026/03/02/8-facts-about-americans-and-tiktok/,2026,"NEWS-scoped; Black news-from-TikTok over-index"
national,US,all,all_adults,radio,local_news,news,52,pct_at_least_sometimes,Pew Research Center (Pew-Knight Local News),https://www.pewresearch.org/journalism/fact-sheet/local-news-fact-sheet/,2026,"NEWS-scoped but LOCAL (more relevant than all-news for PI). REPUBLISHABLE. Radio = most resilient traditional local-news source, only -4pts since 2018 vs TV -5 / newspapers -7. 2nd-most-used local news source"
national,US,all,all_adults,radio,ad_audio_share,general,82,pct_radio_plus_podcast_of_ad_audio,Nielsen / Edison The Record Q1 2026 (cited as fact),https://www.nielsen.com/insights/2026/the-record-q1-us-audio-listening-trends/,2026,"GENERAL; radio+podcast = 82% of daily ad-supported audio, streaming music only 16%. CITE-AS-FACT, do not republish Nielsen tables. ~4 hrs daily audio per person"
national,US,race,black,radio,ad_audio_share,general,70,pct_of_ad_supported_audio,Edison Share of Ear Q3 2025 (cited as fact),https://www.westwoodone.com/blog/2025/12/08/q3-2025-edison-share-of-ear-am-fm-radio-dominates-ad-supported-audio-while-podcast-audiences-age-as-older-audiences-surge/,2025,"GENERAL; AM/FM = 70% of ad-supported audio for African Americans 25-54. CITE-AS-FACT. Reinforces Black radio over-index"
national,US,race,hispanic,radio,ad_audio_share,general,61,pct_of_ad_supported_audio,Edison Share of Ear Q3 2025 (cited as fact),https://www.westwoodone.com/blog/2025/12/08/q3-2025-edison-share-of-ear-am-fm-radio-dominates-ad-supported-audio-while-podcast-audiences-age-as-older-audiences-surge/,2025,"GENERAL; AM/FM = 61% of ad-supported audio for Hispanics 25-54. CITE-AS-FACT"
national,US,age,18_34,radio,ad_audio_share,general,45,pct_of_ad_supported_audio,Nielsen / Edison The Record Q1 2026 (cited as fact),https://www.nielsen.com/insights/2026/the-record-q1-us-audio-listening-trends/,2026,"GENERAL; AM/FM = 45% of ad-supported audio for 18-34 (vs 68% for 35+). Radio skews older. CITE-AS-FACT"
national,US,age,35_plus,radio,ad_audio_share,general,68,pct_of_ad_supported_audio,Nielsen / Edison The Record Q1 2026 (cited as fact),https://www.nielsen.com/insights/2026/the-record-q1-us-audio-listening-trends/,2026,"GENERAL; AM/FM = 68% of ad-supported audio for 35+. CITE-AS-FACT"
national,US,age,65_plus,tv_linear,linear_share_of_tv_time,general,74.7,pct_of_tv_time,Nielsen 2026 Upfront Planning (cited as fact),https://www.nielsen.com/insights/2025/why-marketers-should-not-discount-age/,2026,"GENERAL; 65-99 spend 74.7% of TV time on LINEAR (the clearest linear-skews-old stat). CITE-AS-FACT"
national,US,age,18_49,tv_linear,linear_share_of_tv_time,general,33.4,pct_of_tv_time,Nielsen 2026 Upfront Planning (cited as fact),https://www.nielsen.com/insights/2025/why-marketers-should-not-discount-age/,2026,"GENERAL; 18-49 spend only 33.4% of ad-supported TV time on linear; 2-34 are 60%+ streaming. CITE-AS-FACT"
national,US,income,lower,tv_linear,heavy_viewer_index,general,133,index_vs_avg,Adwave/Nielsen/Ipsos (cited as fact),https://adwave.com/resources/tv-viewing-by-income,2025,"GENERAL; under-$75K HH are 33% MORE likely to be heavy TV viewers (index ~133). Linear reaches lower-income heavy viewers = matches many PI claimant profiles. CITE-AS-FACT"
national,US,income,upper,tv_linear,heavy_viewer_index,general,57,index_vs_avg,Adwave/Nielsen/Ipsos (cited as fact),https://adwave.com/resources/tv-viewing-by-income,2025,"GENERAL; $150K+ HH are 43% LESS likely to be heavy TV viewers (index ~57). Inverse of streaming income skew. CITE-AS-FACT"
national,US,age,18_29,youtube,platform_use,general,90,pct_ever_use,Pew Research Center (5 facts about Americans and YouTube),https://www.pewresearch.org/short-reads/2025/02/28/5-facts-about-americans-and-youtube/,2025,"GENERAL; Pew '5 facts about Americans and YouTube' (Feb 2025) states >nine-in-ten adults under 50 use YouTube; 90 = documented floor (18-29 not broken out separately on this page)"
national,US,age,50_64,youtube,platform_use,general,86,pct_ever_use,Pew Research Center (5 facts about Americans and YouTube),https://www.pewresearch.org/short-reads/2025/02/28/5-facts-about-americans-and-youtube/,2025,"GENERAL; confirmed vs Pew '5 facts about Americans and YouTube' (Feb 2025): 86% of 50-64"
national,US,age,65_plus,youtube,platform_use,general,65,pct_ever_use,Pew Research Center (5 facts about Americans and YouTube),https://www.pewresearch.org/short-reads/2025/02/28/5-facts-about-americans-and-youtube/,2025,"GENERAL; confirmed vs Pew '5 facts about Americans and YouTube' (Feb 2025): 65%. KEY: YouTube holds with older audiences (65% at 65+ vs IG 19%) - rare digital channel that reaches seniors"
national,US,race,hispanic,youtube,news_regular,news,51,pct_regularly,Pew Research Center (Social Media and News Fact Sheet),https://www.pewresearch.org/journalism/fact-sheet/social-media-and-news-fact-sheet/,2025,"NEWS-scoped; Hispanic highest YouTube-news. Completes the race cut (Black 41 already in seed)"
national,US,race,asian,youtube,news_regular,news,35,pct_regularly,Pew Research Center (Social Media and News Fact Sheet),https://www.pewresearch.org/journalism/fact-sheet/social-media-and-news-fact-sheet/,2025,"NEWS-scoped"
national,US,race,white,youtube,news_regular,news,34,pct_regularly,Pew Research Center (Social Media and News Fact Sheet),https://www.pewresearch.org/journalism/fact-sheet/social-media-and-news-fact-sheet/,2025,"NEWS-scoped; White lowest YouTube-news. Black/Hisp/Asian all over-index"
national,US,age,55_plus,youtube,watch_time_skew,general,20,pct_of_us_youtube_watch_time,eMarketer/Pixability (cited as fact),https://www.emarketer.com/content/ctv-youtube-have-overhauled-media-consumption,2026,"GENERAL; 55+ now ~20% of US YouTube watch time + fastest-growing; ~60% of YouTube watch time is on the TV screen (CTV). Underused angle for older torts. CITE-AS-FACT"
national,US,race,black,tv_linear,time_spent_daily,general,2.90,hours_per_day,BLS American Time Use Survey 2024 (Table 3),https://www.bls.gov/news.release/atus.toc.htm,2024,"GENERAL, PUBLIC DOMAIN. Time-spent (not reach %) - the republishable TV-by-race signal since reach% is Nielsen-paid-only. Black highest TV time"
national,US,race,white,tv_linear,time_spent_daily,general,2.61,hours_per_day,BLS American Time Use Survey 2024 (Table 3),https://www.bls.gov/news.release/atus.toc.htm,2024,"GENERAL, PUBLIC DOMAIN"
national,US,race,hispanic,tv_linear,time_spent_daily,general,2.09,hours_per_day,BLS American Time Use Survey 2024 (Table 3),https://www.bls.gov/news.release/atus.toc.htm,2024,"GENERAL, PUBLIC DOMAIN"
national,US,race,asian,tv_linear,time_spent_daily,general,1.71,hours_per_day,BLS American Time Use Survey 2024 (Table 3),https://www.bls.gov/news.release/atus.toc.htm,2024,"GENERAL, PUBLIC DOMAIN; Asian lowest TV time"
national,US,income,lower,tiktok,platform_use,general,37,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; <$30K. TikTok+Snapchat are the ONLY major platforms skewing lower-income. REPUBLISHABLE"
national,US,income,upper,tiktok,platform_use,general,26,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; $100K+. TikTok DROPS with income (37 to 26). REPUBLISHABLE"
national,US,income,lower,facebook,platform_use,general,65,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; <$30K. FB near-flat across income = broad reach. REPUBLISHABLE"
national,US,income,upper,facebook,platform_use,general,70,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; $100K+. REPUBLISHABLE"
national,US,income,lower,instagram,platform_use,general,41,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; <$30K. IG climbs with income (41 to 60). REPUBLISHABLE"
national,US,income,upper,instagram,platform_use,general,60,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; $100K+. REPUBLISHABLE"
national,US,income,lower,youtube,platform_use,general,77,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; <$30K. YouTube most income-FLAT platform (77 to ~90). REPUBLISHABLE"
national,US,income,upper,youtube,platform_use,general,90,pct_ever_use,Pew Research Center (Social Media Fact Sheet),https://www.pewresearch.org/internet/fact-sheet/social-media/,2025,"GENERAL; $100K+. REPUBLISHABLE"
national,US,income,upper,podcast,listener_share,general,56,pct_of_listeners,Edison Research (Podcast Consumer 2024),https://www.edisonresearch.com/the-podcast-consumer-2024-by-edison-research/,2024,"GENERAL; 56% of monthly podcast listeners are HHI $75K+ vs 48% of US pop = income over-index. REPUBLISHABLE free PDF"
national,US,age,18_34,radio,reach_monthly,general,87,pct_reach,Nielsen Radio Today via Forbes (cited as fact),https://www.forbes.com/sites/bradadgate/2023/07/26/nielsen-amfm-radio-reaches-91-of-us-adults-each-month/,2023,"GENERAL monthly AM/FM reach. CITE-AS-FACT. 18-34=87, 35-49=93, 50+=92, all-18+=91 - radio reaches ALL ages heavily"
national,US,age,35_49,radio,reach_monthly,general,93,pct_reach,Nielsen Radio Today via Forbes (cited as fact),https://www.forbes.com/sites/bradadgate/2023/07/26/nielsen-amfm-radio-reaches-91-of-us-adults-each-month/,2023,"GENERAL; CITE-AS-FACT"
national,US,age,50_plus,radio,reach_monthly,general,92,pct_reach,Nielsen Radio Today via Forbes (cited as fact),https://www.forbes.com/sites/bradadgate/2023/07/26/nielsen-amfm-radio-reaches-91-of-us-adults-each-month/,2023,"GENERAL; CITE-AS-FACT. Radio monthly reach is HIGH across all ages (unlike its skewed-old SHARE-of-time)"
national,US,race,black,ooh,ad_notice,general,78,pct_notice_enroute_retail,OAAA/Harris Poll 2024 Value of OOH Guide,https://oaaa.org/wp-content/uploads/2024/02/2024-Value-of-OOH-Guide.pdf,2024,"GENERAL; OOH = NEW channel. Black/Hisp/Asian over-index OOH noticing vs 68% general. REPUBLISHABLE"
national,US,race,hispanic,ooh,ad_notice,general,76,pct_notice_enroute_retail,OAAA/Harris Poll 2024 Value of OOH Guide,https://oaaa.org/wp-content/uploads/2024/02/2024-Value-of-OOH-Guide.pdf,2024,"GENERAL; REPUBLISHABLE"
national,US,race,asian,ooh,ad_notice,general,73,pct_notice_enroute_retail,OAAA/Harris Poll 2024 Value of OOH Guide,https://oaaa.org/wp-content/uploads/2024/02/2024-Value-of-OOH-Guide.pdf,2024,"GENERAL; REPUBLISHABLE"
national,US,all,all_adults,ooh,ad_notice,general,68,pct_notice_enroute_retail,OAAA/Harris Poll 2024 Value of OOH Guide,https://oaaa.org/wp-content/uploads/2024/02/2024-Value-of-OOH-Guide.pdf,2024,"GENERAL; all-adult baseline for OOH noticing. REPUBLISHABLE"
